Rndrng_NPI,Tot_Benes,Avg_Mdcr_Stdzd_Amt,Tot_Mdcr_Stdzd_Amt,Labels
1003877515,147,620.249910714,91176.74,0
1003882432,4642,5821.8097602361,27024840.91,1
1003883562,7033,6213.890224651699,43702289.95,2
1003884081,3029,1616.3258438963992,4895850.98,3
1003885732,854,2709.2491540222995,2313698.78,3
1003886573,327,473.48879100500005,154830.83,0
1003886698,645,1027.888922906,662988.36,0
1003887134,36,106.73927273,3842.61,0
1003888074,3058,6877.312662588599,21030822.12,1
1003893199,2765,6852.46143929,18947055.88,1
1003895699,467,1597.518000817,746040.91,3
1003896051,487,449.021624074,218673.53,0
1003899816,548,2151.715892437,1179140.31,3
1003901612,200,271.311610022,54262.32,0
1003904889,195,481.75731686200004,93942.68,0
1003905969,724,2136.324608777,1546699.02,3
1003907783,74,226.848285492,16786.77,0
1003910209,303,462.275974656,140069.62,0
1003910555,333,428.34400417000006,142638.55,0
1003919960,200,372.380423585,74476.08,0
1003922436,564,1568.8118778150003,884809.9,3
1003927559,2491,1314.8173743178997,3275210.08,3
1003930215,5510,5320.716356665801,29317147.13,4
1003933516,840,2551.303086296,2143094.59,3
1003935081,331,718.5441306789999,237838.11,0
1003939133,272,1421.191312657,386564.04,0
1003952151,1205,5162.6826391093,6221032.58,1
1003953613,591,727.6424625910003,430036.7,0
1003954637,663,759.712450714,503689.35,0
1003957788,1520,6023.092267761999,9155100.25,1
1003958539,179,653.060163466,116897.77,0
1003959974,978,622.495612729,608800.71,0
1003961756,496,337.277481041,167289.63,0
1003966920,36,149.33027778,5375.89,0
1003974346,19,35.22,669.18,0
1003980947,6940,5813.993436701099,40349114.45,2
1003985367,990,978.0763970277999,968295.63,0
1003986852,359,783.088789938,281128.88,0
1003988247,395,1554.164094222,613894.82,3
1003991035,364,461.139023359,167854.6,0
1003996653,539,1093.1702171386,589218.75,0
1003998709,2426,3156.2284075852,7657010.12,3
1013002880,12994,6572.9852900424,85409370.86,2
1013003425,357,438.096886568,156400.59,0
1013005685,3962,5618.822834543799,22261776.07,1
1013007699,19,87.524782609,1662.97,0
1013010511,407,590.972138782,240525.66,0
1013016930,588,952.9691640169999,560345.87,0
1013017094,1475,7393.114038013,10904843.21,1
1013018035,1093,851.4871096639998,930675.41,0
1013019918,541,823.1873020879999,445344.33,0
1013025964,443,1385.3224454610001,613697.84,0
1013028729,225,329.996984127,74249.32,0
1013032713,6619,8679.9102294345,57452325.81,2
1013034800,2732,3027.964292321,8272398.45,3
1013043009,1149,2066.337655099,2374221.97,3
